Wall time,Step,Value
1715953585.5733566,90,112.91099548339844
1715953589.2122316,201,125.95024108886719
1715953592.7178605,302,126.2430191040039
1715953596.1347747,400,125.39351654052734
1715953599.3014307,486,121.76408386230469
1715953602.399085,567,118.28645324707031
1715953606.1902573,668,119.50618743896484
1715953609.331258,753,117.79693603515625
1715953611.877348,828,115.0922622680664
1715953615.6878438,936,117.33882904052734
1715953623.3406305,1059,120.5816879272461
1715953626.820549,1156,120.4209213256836
1715953630.3551934,1257,120.81657409667969
1715953633.401233,1342,119.80375671386719
1715953636.7127132,1434,119.43682098388672
1715953640.0828178,1526,119.24163055419922
1715953644.1934965,1636,120.60704803466797
1715953647.3956976,1724,120.1161880493164
1715953651.79908,1843,121.46359252929688
1715953656.4002917,1955,122.56373596191406
1715953666.1158965,2064,123.32247924804688
1715953670.2659087,2192,125.23895263671875
1715953675.809764,2348,128.46978759765625
1715953679.0306067,2438,127.78446197509766
1715953682.9979398,2548,128.31692504882812
1715953688.3437865,2698,131.49545288085938
1715953691.5177689,2797,130.87840270996094
1715953697.3350184,2950,133.63247680664062
1715953708.2872345,3081,135.2672119140625
1715953713.0782738,3209,137.46998596191406
1715953717.6166444,3329,139.4326934814453
1715953721.4365342,3432,139.56703186035156
1715953726.9185944,3557,141.6934051513672
1715953732.2848256,3699,145.20889282226562
1715953736.0806098,3807,145.27732849121094
1715953741.0297692,3939,145.84298706054688
1715953749.8779268,4073,147.9428253173828
1715953753.840182,4177,148.1324462890625
1715953757.6203587,4276,148.82301330566406
1715953762.9833605,4415,151.26705932617188
1715953767.0380754,4521,152.02606201171875
1715953770.5922122,4610,150.8390350341797
1715953775.4099774,4741,153.1607666015625
1715953779.9168172,4869,153.77630615234375
1715953784.2403138,4984,153.69297790527344
1715953797.6013331,5157,156.9869842529297
1715953802.9904299,5297,157.4473114013672
1715953807.0265586,5400,154.7139129638672
1715953813.8524694,5576,159.12379455566406
1715953818.2754395,5694,159.3725128173828
1715953824.8008332,5871,160.57264709472656
1715953828.6205745,5996,161.9513397216797
1715953841.0025802,6131,161.19212341308594
1715953844.5755036,6226,159.3971405029297
1715953849.5907161,6357,159.5070037841797
1715953854.9216723,6498,160.7244873046875
1715953858.4037342,6590,160.1913604736328
1715953863.62496,6727,160.95030212402344
1715953866.9278097,6821,158.3398895263672
1715953871.6323905,6952,159.52452087402344
1715953884.6809883,7119,161.4305419921875
1715953889.8215415,7257,161.40985107421875
1715953894.24653,7368,161.87246704101562
1715953899.8918772,7510,163.94976806640625
1715953904.4406343,7635,163.42478942871094
1715953911.3051808,7823,167.22708129882812
1715953915.5586245,7937,168.60658264160156
1715953928.5055134,8100,170.0098114013672
1715953933.8843634,8254,171.4947509765625
1715953938.310641,8371,171.73165893554688
1715953943.652293,8519,170.0126953125
1715953948.9032152,8661,170.06961059570312
1715953955.591424,8832,173.47125244140625
1715953961.2522023,8976,171.92874145507812
1715953973.069837,9089,171.83876037597656
1715953979.019888,9260,171.64341735839844
1715953983.9816656,9392,171.9151153564453
1715953988.6904051,9526,171.7239227294922
1715953995.0153515,9690,175.53204345703125
1715953999.056141,9794,174.32725524902344
1715954003.7348082,9919,173.3893585205078
1715954013.9922593,10081,177.02003479003906
1715954018.2938998,10189,175.4175262451172
1715954024.4978845,10357,179.62619018554688
1715954028.8574123,10499,179.922119140625
1715954032.9219887,10615,177.3568572998047
1715954038.0265248,10748,177.48414611816406
1715954042.6335666,10871,178.2329864501953
1715954046.9424589,10984,176.86318969726562
1715954056.8055563,11117,177.14926147460938
1715954061.534159,11239,174.20535278320312
1715954066.9655805,11382,175.71730041503906
1715954070.6322565,11484,172.72093200683594
1715954074.9381208,11630,172.3106231689453
1715954081.0128245,11784,174.29144287109375
1715954087.9739733,11962,176.45558166503906
1715954106.2586346,12153,179.1953125
1715954113.0359645,12334,179.91860961914062
1715954117.2173247,12470,179.45550537109375
1715954122.9192715,12647,182.7813262939453
1715954126.5262148,12752,179.5462188720703
1715954131.5499117,12884,179.60330200195312
1715954142.4690762,13041,180.58349609375
1715954147.1051357,13161,178.2376251220703
1715954152.6955054,13304,180.25216674804688
1715954158.9276505,13481,183.0902862548828
1715954164.61527,13626,182.01589965820312
1715954171.3532107,13815,186.2023468017578
1715954176.8044155,13966,185.05526733398438
1715954186.9782817,14104,185.0568084716797
1715954193.4435244,14269,187.33514404296875
1715954200.5581455,14465,190.15122985839844
1715954207.5394912,14649,193.2958526611328
1715954213.5663128,14807,195.79991149902344
1715954218.816032,14958,196.91574096679688
1715954232.114382,15189,202.9554443359375
1715954237.049793,15329,202.56446838378906
1715954242.9667954,15490,205.9542694091797
1715954249.548508,15667,207.2782745361328
1715954254.8089604,15803,206.43670654296875
1715954259.1223204,15917,203.0254669189453
1715954268.3050113,16059,200.3972930908203
1715954272.4706068,16187,197.5792999267578
1715954277.8516638,16340,198.65713500976562
1715954284.3574324,16515,198.39950561523438
1715954289.5173566,16647,199.40701293945312
1715954294.483782,16776,199.08026123046875
1715954301.0024729,16945,199.78892517089844
1715954310.800953,17083,200.5948028564453
1715954315.3786943,17205,199.45028686523438
1715954320.917934,17389,199.93617248535156
1715954326.7331388,17538,200.38449096679688
1715954331.6709664,17669,197.4878387451172
1715954337.7080393,17827,198.05078125
1715954355.789496,18042,202.19920349121094
1715954361.969677,18222,203.44790649414062
1715954369.7050438,18461,206.0556182861328
1715954376.6495123,18643,206.34115600585938
1715954381.893137,18779,205.10598754882812
1715954387.7435372,18927,204.9271697998047
1715954395.7342415,19058,199.35018920898438
1715954400.6286604,19188,199.0181884765625
1715954407.5762029,19380,200.16395568847656
1715954413.193631,19534,199.2633056640625
1715954417.9333572,19668,199.35028076171875
1715954422.6015663,19796,200.02798461914062
1715954426.4276617,19902,198.2723846435547
1715954440.608241,20098,201.8361358642578
1715954444.8663132,20214,199.8035430908203
1715954450.5381765,20355,198.36427307128906
1715954457.4581444,20539,201.48829650878906
1715954465.2946327,20766,207.23123168945312
1715954470.9798508,20937,207.50006103515625
1715954480.965808,21100,208.76145935058594
1715954487.634955,21287,211.9530487060547
1715954494.420884,21458,211.40367126464844
1715954502.745334,21669,214.405029296875
1715954510.9846148,21889,219.1254119873047
1715954527.1875973,22132,223.61740112304688
1715954535.9642086,22361,223.74783325195312
1715954545.6197138,22609,226.97735595703125
1715954553.3474581,22809,224.47828674316406
1715954560.9275959,23000,224.48138427734375
1715954570.9239647,23137,224.6995086669922
1715954576.1567285,23272,223.92088317871094
1715954581.9707794,23425,225.24598693847656
1715954586.3243191,23540,224.52772521972656
1715954590.88752,23659,220.88113403320312
1715954596.9857366,23811,220.98983764648438
1715954600.8464427,23911,218.9983673095703
1715954611.0328178,24083,221.35458374023438
1715954616.8903828,24261,224.90330505371094
1715954622.4695022,24402,222.0536346435547
1715954632.206745,24649,229.63546752929688
1715954639.8328397,24849,232.794677734375
1715954644.7158697,24977,229.51177978515625
1715954653.2681057,25122,224.9208221435547
1715954657.2506235,25249,222.72750854492188
1715954661.2784293,25371,220.74325561523438
1715954666.3032804,25516,219.03018188476562
1715954673.0830095,25693,219.09356689453125
1715954680.0593705,25871,217.89480590820312
1715954693.0561898,26083,217.3061981201172
1715954701.5324812,26311,216.69346618652344
