Wall time,Step,Value
1715953595.9157307,101,124.73177337646484
1715953599.27943,194,120.84467315673828
1715953602.983635,292,121.87483978271484
1715953605.7502577,366,114.23013305664062
1715953608.7962577,449,112.22846221923828
1715953611.5263498,529,109.73194885253906
1715953613.9373927,598,106.14558410644531
1715953617.2708435,693,108.17809295654297
1715953619.5378437,760,105.2801742553711
1715953622.1658902,837,104.34364318847656
1715953624.7220352,907,102.70899963378906
1715953627.0425487,973,100.88236236572266
1715953632.363193,1055,100.9621353149414
1715953634.6970935,1119,99.34149169921875
1715953637.0167136,1184,98.031005859375
1715953639.3812785,1249,96.8673095703125
1715953641.8779054,1314,95.83580017089844
1715953644.2204962,1378,94.8584976196289
1715953646.6316974,1443,94.0417709350586
1715953648.9258761,1508,93.30532836914062
1715953651.8765976,1587,93.55965423583984
1715953655.4022913,1673,94.11173248291016
1715953658.82129,1760,94.56753540039062
1715953663.3592687,1887,97.15047454833984
1715953666.4178972,1976,97.75365447998047
1715953672.6469078,2069,97.3672103881836
1715953674.9967642,2137,96.024658203125
1715953677.5203495,2210,94.63529205322266
1715953680.3873174,2287,94.74727630615234
1715953682.8949394,2358,94.04383850097656
1715953685.5544171,2435,93.94790649414062
1715953688.8747864,2528,95.17436981201172
1715953691.6857686,2619,94.77483367919922
1715953694.412768,2695,95.20692443847656
1715953698.036157,2789,96.0949478149414
1715953701.2282794,2880,97.25424194335938
1715953704.2235572,2967,98.38327026367188
1715953710.3732736,3069,99.46182250976562
1715953713.9222028,3164,101.11334228515625
1715953716.7266073,3239,101.6480712890625
1715953719.945454,3323,102.69587707519531
1715953723.4336097,3401,103.34894561767578
1715953726.4855943,3479,104.0419692993164
1715953729.8348224,3565,105.04849243164062
1715953732.942826,3653,106.20584869384766
1715953736.3736098,3750,107.09922790527344
1715953739.7542489,3840,107.43121337890625
1715953743.4238427,3935,107.97318267822266
1715953749.9556298,4048,107.27754974365234
1715953753.2251854,4134,106.99806213378906
1715953757.0628393,4234,107.31278228759766
1715953760.9822638,4336,109.11133575439453
1715953765.9330754,4464,112.01315307617188
1715953770.2902126,4576,113.8565673828125
1715953774.2628045,4682,115.68075561523438
1715953778.0810156,4792,117.45011901855469
1715953781.7302778,4893,117.99288177490234
1715953785.442949,4991,118.44120788574219
1715953792.0063882,5088,119.62692260742188
1715953796.1351526,5203,120.6953125
1715953799.695023,5301,121.03005981445312
1715953803.5594757,5400,121.73176574707031
1715953807.1885588,5493,121.27017974853516
1715953810.5879967,5581,120.95340728759766
1715953814.693522,5688,122.63310241699219
1715953818.3454397,5786,123.39995574951172
1715953821.6007977,5873,123.98147583007812
1715953825.060057,5974,125.15215301513672
1715953831.2555757,6073,126.00074768066406
1715953834.0434928,6172,126.65213775634766
1715953838.1209445,6294,128.07688903808594
1715953841.6647289,6390,128.37705993652344
1715953844.726504,6473,127.76716613769531
1715953848.3027167,6569,127.1319808959961
1715953851.935144,6666,127.90873718261719
1715953855.174671,6754,127.46869659423828
1715953858.2556717,6837,126.58873748779297
1715953861.3667758,6919,124.2896957397461
1715953868.7333171,7028,124.20274353027344
1715953871.9033904,7121,123.61811065673828
1715953874.828106,7216,122.96788787841797
1715953877.945023,7329,123.48974609375
1715953880.9861422,7436,123.90033721923828
1715953884.8789885,7548,124.62559509277344
1715953889.4179895,7673,125.21748352050781
1715953894.0825303,7790,126.32362365722656
1715953898.0685673,7890,126.34862518310547
1715953907.3721101,8027,128.5750732421875
1715953912.9378579,8175,131.49688720703125
1715953917.6691422,8300,132.4754638671875
1715953922.110277,8435,134.33160400390625
1715953927.3231745,8615,139.03445434570312
1715953930.820751,8724,139.7185516357422
1715953934.8957899,8838,140.52255249023438
1715953939.6737616,8966,142.1663360595703
1715953949.3432155,9111,143.30874633789062
1715953954.1900117,9233,144.67556762695312
1715953958.9539883,9355,146.78456115722656
1715953965.1915793,9523,150.42135620117188
1715953970.9857588,9695,154.2890625
1715953976.1353874,9846,157.550048828125
1715953989.6652892,10049,163.88536071777344
1715953996.606912,10228,168.92579650878906
