Wall time,Step,Value
1716016356.3405335,91,113.36392974853516
1716016359.023856,169,105.34913635253906
1716016363.047914,255,106.3001937866211
1716016371.08615,364,113.96802520751953
1716016377.3338811,450,112.71074676513672
1716016380.203137,520,108.28900909423828
1716016383.712296,599,106.70338439941406
1716016387.2855644,682,106.45631408691406
1716016393.4946437,764,105.95668029785156
1716016398.1681814,836,104.3375473022461
1716016401.4846277,904,102.45654296875
1716016404.8603194,971,100.7911376953125
1716016412.0116994,1051,100.58411407470703
1716016415.4987457,1117,99.17346954345703
1716016419.1034591,1184,98.04231262207031
1716016423.0109184,1250,96.97698211669922
1716016426.9611847,1328,97.0063705444336
1716016429.7547622,1395,96.19615173339844
1716016433.43494,1468,95.89745330810547
1716016436.9550748,1536,95.30077362060547
1716016440.396609,1608,94.99138641357422
1716016443.5091891,1677,94.52497100830078
1716016447.5076993,1755,94.60913848876953
1716016465.3599868,1874,97.05203247070312
1716016478.3497317,1974,98.2850112915039
1716016494.9112759,2094,99.79154968261719
1716016508.2871885,2224,102.39697265625
1716016526.8210638,2395,106.62528228759766
1716016540.4109888,2526,107.93215942382812
1716016551.9025846,2635,108.96392059326172
1716016562.380931,2762,112.2149658203125
1716016570.5007522,2862,113.25010681152344
1716016581.8796844,2984,115.27374267578125
1716016599.979681,3143,119.2208480834961
1716016610.5547593,3316,124.38976287841797
1716016625.3806787,3562,133.0120849609375
1716016641.849979,3816,142.7380828857422
1716016692.863745,4048,150.2628936767578
1716016713.032737,4276,158.0675811767578
1716016733.2359738,4590,169.9764404296875
1716016745.679899,4778,176.09925842285156
1716016783.0958238,5124,189.0875701904297
1716016798.1579587,5402,199.07456970214844
1716016817.7415302,5747,212.7749786376953
1716016857.3958726,6067,225.06935119628906
