Wall time,Step,Value
1715953578.0349138,86,109.30223083496094
1715953579.9973655,167,105.02320098876953
1715953582.8114707,256,107.76150512695312
1715953585.7653568,355,112.41055297851562
1715953588.7229083,439,110.9618148803711
1715953591.2138603,511,107.30382537841797
1715953593.7108607,586,105.38501739501953
1715953596.461776,668,104.9948501586914
1715953599.1404297,742,103.51870727539062
1715953601.6290855,807,101.1317367553711
1715953604.1996362,875,99.50653076171875
1715953606.6672587,941,97.95611572265625
1715953611.3873496,1017,97.58092498779297
1715953613.7973928,1085,96.55784606933594
1715953616.194843,1152,95.59383392333984
1715953618.5408432,1219,94.75772094726562
1715953620.8188906,1287,94.11459350585938
1715953623.4016292,1359,93.85679626464844
1715953627.10655,1464,95.72371673583984
1715953630.8391948,1571,97.7186508178711
1715953634.546094,1675,99.39422607421875
1715953638.6217134,1788,101.21063995361328
1715953644.739257,1951,106.1945571899414
1715953656.0382912,2121,110.23780822753906
1715953662.079703,2277,113.74374389648438
1715953667.6549757,2435,117.40575408935547
1715953673.0954268,2596,121.40185546875
1715953679.3996077,2775,126.29443359375
1715953685.0574162,2935,129.64476013183594
1715953698.9999068,3168,137.69337463378906
1715953705.5461988,3353,144.03277587890625
1715953714.8479545,3602,153.7230682373047
1715953727.510594,3912,165.70901489257812
1715953740.8987691,4134,173.41973876953125
1715953747.6206274,4328,180.13543701171875
1715953754.672197,4518,186.90647888183594
1715953763.0973604,4738,195.07290649414062
1715953771.8979235,4965,202.74081420898438
1715953792.3573892,5282,215.0849151611328
1715953803.7004755,5583,227.33480834960938
1715953814.9625216,5871,237.86138916015625
1715953841.0025802,6223,251.536376953125
1715953852.840143,6535,263.92437744140625
1715953864.6867297,6847,275.3842468261719
1715953890.6739757,7213,289.41827392578125
1715953901.9197683,7501,299.5018005371094
1715953913.1113734,7805,309.762451171875
1715953939.1855197,8181,320.2431640625
1715953951.3618033,8506,328.76123046875
1715953965.0165792,8859,338.7735290527344
1715953988.8004067,9223,349.8944091796875
1715954001.1007252,9538,358.09942626953125
1715954016.8418992,9948,368.8742370605469
1715954042.5915687,10329,380.316650390625
1715954055.9749882,10675,385.83709716796875
1715954068.3766632,10999,392.4106750488281
1715954087.8949733,11308,395.2370300292969
1715954102.0011144,11700,398.71258544921875
1715954112.8929625,11994,402.90313720703125
1715954135.772126,12256,405.77520751953125
1715954146.5691352,12539,410.0980529785156
1715954160.8041935,12924,418.10333251953125
1715954188.6454089,13320,425.497802734375
1715954200.264145,13634,424.9783630371094
1715954213.917697,13995,427.59149169921875
1715954237.4477932,14330,431.3192443847656
1715954249.7455084,14661,431.7585144042969
1715954261.544111,14966,432.0216979980469
1715954285.263357,15308,433.3236999511719
1715954297.75631,15627,431.0324401855469
1715954307.0372248,15876,429.0860595703125
1715954327.875245,16186,429.8580627441406
1715954339.592722,16487,427.0615539550781
1715954352.186185,16804,427.10504150390625
1715954378.2261162,17169,427.6958312988281
1715954393.4982717,17563,428.9134521484375
1715954406.3861623,17917,430.84619140625
1715954435.0615861,18330,431.1855773925781
1715954447.3115642,18664,427.2261047363281
1715954458.2557082,18947,424.04296875
1715954482.147808,19310,425.23455810546875
1715954494.098887,19628,425.1544494628906
1715954507.6884532,19975,423.884765625
1715954534.561743,20356,427.1030578613281
1715954549.0527663,20729,432.55877685546875
1715954575.8607278,21140,438.1531982421875
1715954587.987323,21457,434.8341064453125
1715954600.5754428,21776,431.9830322265625
1715954619.614581,22076,430.9668884277344
1715954633.1437814,22424,430.0586242675781
1715954647.3789687,22797,431.02008056640625
1715954674.1161692,23211,434.3118591308594
1715954688.3519435,23569,436.330810546875
1715954698.7412887,23871,434.02593994140625
1715954726.3437173,24260,435.5555114746094
1715954741.0331798,24655,441.46826171875
1715954774.1077638,25104,447.4645080566406
1715954785.8918257,25448,448.43145751953125
1715954801.2124157,25833,450.707763671875
1715954830.2607684,26250,452.9051208496094
1715954841.7510002,26547,447.33209228515625
1715954853.6056914,26861,445.6775817871094
1715954874.6034243,27178,441.3069763183594
1715954885.0968451,27445,440.11248779296875
1715954899.7514052,27823,445.1654357910156
1715954922.432635,28228,448.3340759277344
1715954933.742203,28507,446.4996643066406
1715954945.6845553,28809,444.2470703125
1715954964.4540503,29142,442.96826171875
1715954978.4169674,29541,445.6054992675781
1715954991.0619879,29864,443.3402099609375
1715955018.1385846,30232,446.6093444824219
1715955031.490133,30580,448.10693359375
1715955043.021433,30905,449.4143371582031
1715955069.717045,31274,449.9248046875
1715955079.890499,31541,445.4759216308594
1715955091.2930946,31852,440.7459411621094
1715955116.5303738,32186,440.0576171875
1715955130.9683795,32556,442.5868225097656
1715955142.0722547,32835,438.49627685546875
1715955171.9268446,33259,440.3048400878906
1715955184.9091775,33595,434.6373291015625
1715955198.839922,33976,435.65557861328125
1715955227.7547488,34378,437.4185791015625
1715955239.5777948,34696,432.43865966796875
1715955268.574145,35088,437.7379150390625
1715955280.1285188,35408,437.9176940917969
1715955294.5045826,35799,441.24652099609375
1715955318.6681018,36163,444.42120361328125
1715955332.0944526,36521,442.45648193359375
1715955347.7039142,36918,442.46087646484375
1715955380.200381,37399,452.5011901855469
1715955396.5587914,37814,458.3509216308594
1715955425.229492,38212,461.23828125
1715955440.8300867,38609,459.9085998535156
1715955453.2226765,38947,459.3599853515625
1715955478.8477395,39300,458.6806945800781
1715955489.1770868,39580,456.3622131347656
1715955502.2545483,39939,460.4803161621094
1715955528.5073848,40336,464.01141357421875
