Wall time,Step,Value
1716024487.0877044,87,107.2129135131836
1716024490.2030916,186,114.90665435791016
1716024494.1044915,299,122.8868637084961
1716024496.8243968,381,118.20088958740234
1716024499.5579243,460,114.5633773803711
1716024502.1722739,534,110.79872131347656
1716024504.9055128,615,109.52610778808594
1716024507.5172222,682,106.14002990722656
1716024510.1153367,754,104.26275634765625
1716024513.2263772,832,103.3984603881836
1716024516.2552242,909,102.65524291992188
1716024518.7653086,978,101.15432739257812
1716024527.9295592,1054,100.61176300048828
1716024531.0267653,1138,100.95667266845703
1716024534.2972252,1212,100.38493347167969
1716024537.473519,1289,100.12882995605469
1716024540.8486478,1370,99.97723388671875
1716024543.4341652,1439,99.18191528320312
1716024546.2175205,1514,98.81043243408203
1716024548.7954528,1585,98.24749755859375
1716024551.8785584,1668,98.55693817138672
1716024554.6738489,1739,98.07991790771484
1716024557.847491,1816,98.0030746459961
1716024560.4897704,1881,97.2364730834961
1716024563.1516998,1951,96.79981231689453
1716024574.56362,2036,96.69126892089844
1716024579.017917,2135,96.70448303222656
1716024584.0147738,2243,96.58576202392578
1716024588.6339307,2329,96.67352294921875
1716024595.1198177,2456,98.98129272460938
1716024605.1893044,2678,106.73069763183594
1716024613.9552221,2870,112.70296478271484
1716024650.1065714,3120,122.51628112792969
1716024659.9796662,3345,131.1619110107422
1716024669.4441054,3566,139.32778930664062
1716024677.9148953,3774,147.03146362304688
1716024686.5627093,3985,155.12889099121094
1716024710.0331628,4163,159.97015380859375
1716024717.2221582,4314,163.27420043945312
1716024722.1734517,4433,165.5008544921875
1716024727.8166022,4553,167.86776733398438
1716024739.069486,4688,170.98988342285156
1716024757.7233157,4910,178.99151611328125
1716024803.6772883,5172,189.1762237548828
1716024821.0143309,5442,199.75082397460938
1716024834.371364,5688,208.89486694335938
1716024844.732928,5891,216.3584747314453
1716024863.6629736,6117,224.64382934570312
1716024877.0290027,6356,234.41810607910156
1716024890.161036,6587,243.44070434570312
1716024901.4445813,6789,250.1925811767578
1716024912.4616122,6984,255.63198852539062
1716024934.8304896,7231,263.4991760253906
1716024949.222625,7456,271.4971618652344
1716024963.5466604,7699,278.0624084472656
1716025003.1859734,8161,288.857666015625
1716025019.193015,8434,292.6216735839844
1716025032.9890904,8672,291.7517395019531
1716025044.7441235,8876,290.5558166503906
1716025065.5472,9117,291.2972412109375
1716025077.1132293,9324,290.8007507324219
1716025086.4882534,9490,288.01776123046875
1716025098.1153255,9707,290.8568420410156
1716025108.3564057,9911,294.1731872558594
1716025128.8565588,10151,300.9208984375
1716025141.3626945,10359,305.6307067871094
1716025151.9678845,10542,308.1888732910156
1716025162.5180728,10720,306.0583801269531
1716025173.6545162,10922,302.8270263671875
1716025191.2035828,11153,301.1646423339844
1716025202.749268,11366,299.4339599609375
1716025217.6225357,11636,302.7452087402344
1716025229.5807478,11863,302.4618835449219
1716025251.7943547,12129,303.4754333496094
1716025264.1825764,12341,302.4796447753906
1716025276.7078407,12558,303.1573181152344
1716025289.5972917,12770,303.9024353027344
1716025301.9174612,12983,301.68511962890625
1716025323.0645454,13224,302.234375
1716025333.2567325,13400,298.4533996582031
1716025343.5209143,13582,285.76556396484375
1716025356.1421378,13806,283.8123474121094
1716025385.424149,14128,288.4344482421875
1716025409.0420923,14544,298.5425109863281
1716025431.264101,14959,305.5705871582031
1716025460.0600374,15318,313.7122497558594
1716025475.7993493,15611,320.697021484375
1716025495.4497528,15971,327.96832275390625
1716025534.303532,16388,338.1597595214844
1716025564.560071,16906,350.068603515625
1716025592.736475,17223,354.6016845703125
1716025611.2588687,17533,360.0181884765625
1716025630.8277378,17858,366.24005126953125
1716025672.488276,18387,380.0787353515625
1716025690.921231,18727,383.0596618652344
1716025724.821305,19154,391.4845886230469
1716025744.9946654,19488,392.33587646484375
1716025769.251139,19931,400.85943603515625
1716025798.6012928,20325,406.2192077636719
1716025812.1005306,20566,406.9019775390625
1716025824.648241,20791,406.5501708984375
1716025851.846504,21099,410.26226806640625
1716025869.095264,21406,412.852294921875
1716025882.4055316,21655,411.4654235839844
1716025897.043794,21907,414.4006042480469
1716025925.0118482,22226,419.7153015136719
1716025939.0599263,22497,419.8817138671875
1716025957.1584404,22843,419.09075927734375
1716025990.4808671,23240,415.651611328125
1716026012.5196643,23656,414.30755615234375
1716026030.959091,23977,410.00787353515625
1716026057.988148,24283,407.95013427734375
1716026072.601553,24585,402.9202575683594
1716026085.7260296,24853,393.8706359863281
1716026111.624319,25179,383.67413330078125
1716026126.799557,25471,380.9610900878906
1716026148.7293482,25875,384.0877990722656
1716026182.1412811,26254,385.385986328125
1716026196.0228095,26521,372.79925537109375
1716026209.427086,26778,369.1339416503906
1716026234.5072963,27095,363.7245178222656
1716026248.3341174,27359,360.5133972167969
1716026264.193427,27627,352.1192321777344
1716026278.8333833,27904,345.70123291015625
1716026304.673985,28240,349.2313537597656
1716026317.8585138,28512,350.11053466796875
1716026331.6246767,28772,346.8418273925781
1716026359.1935456,29075,346.92645263671875
1716026374.4978833,29332,347.2924499511719
1716026390.470804,29601,347.50274658203125
1716026411.4148052,29974,349.8209533691406
1716026437.9760728,30319,353.5408630371094
1716026455.6695004,30636,351.7195739746094
1716026471.3828495,30915,346.3631591796875
1716026501.3573706,31302,346.25457763671875
1716026518.1337428,31601,345.4156799316406
1716026533.9805965,31873,344.92559814453125
1716026556.3517952,32177,345.68341064453125
1716026571.2185056,32447,346.8333435058594
1716026588.806237,32774,347.2287292480469
1716026617.2787645,33144,351.6051940917969
1716026640.2645178,33579,354.2704772949219
1716026664.3671389,33963,355.617919921875
1716026697.6257548,34334,361.6968078613281
1716026717.9572508,34694,366.7718811035156
1716026750.7676997,35139,374.35040283203125
1716026769.0741081,35454,378.67388916015625
1716026791.8676372,35860,387.8133544921875
1716026823.2892764,36236,394.773193359375
1716026844.7727568,36606,397.865234375
1716026864.0271811,36917,402.0616455078125
1716026892.6489277,37294,410.6681823730469
1716026906.5032804,37561,411.366455078125
1716026921.9493787,37867,415.93878173828125
1716026953.1702693,38219,421.930908203125
1716026971.0876963,38551,421.9364318847656
1716026989.6311054,38883,423.0448303222656
1716027029.9610007,39327,429.59173583984375
1716027050.1009166,39701,435.7513427734375
1716027082.5752304,40101,436.85931396484375
1716027101.2384505,40464,440.67327880859375
1716027121.64103,40856,446.669921875
1716027155.4833925,41253,450.545654296875
1716027170.0092316,41559,452.42279052734375
1716027187.1187334,41891,453.5816955566406
1716027222.0072737,42239,453.0957946777344
1716027240.7503994,42603,449.51519775390625
1716027260.0251622,42974,449.3110046386719
1716027293.7021344,43390,450.91748046875
1716027309.9282863,43704,447.9729309082031
1716027344.1822433,44066,442.29730224609375
1716027365.674755,44434,443.415771484375
1716027383.1354222,44757,437.7523498535156
1716038975.3266902,45307,444.1786804199219
1716038989.9187799,45613,439.7362976074219
1716039008.502406,45983,440.2229919433594
1716039041.5000653,46361,437.54229736328125
1716039057.274745,46687,437.4534912109375
1716039099.539988,47229,445.9112243652344
1716039119.1292493,47637,446.79998779296875
1716039164.6650772,48164,453.9860534667969
1716039179.2175539,48454,451.20220947265625
1716039192.7248924,48736,444.41064453125
1716039229.1183617,49193,446.55987548828125
1716039246.299141,49561,444.02117919921875
1716039265.0959458,49958,444.5536193847656
